assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL95,nM,36.0,nM,36.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",7.443697499232712
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL95,nM,36.0,pM,36000.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",7.443697499232712
Inhibition of human recombinant AChE using acetylthiocholine as substrate,CHEMBL2157925,CHEMBL95,nM,32.12,nM,32.12,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",7.493224463393356
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL95,nM,35.7,nM,35.7,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",7.447331783887806
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL95,nM,225.0,uM,0.225,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.647817481888637
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL95,nM,101.0,uM,0.101,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.995678626217358
Inhibition of AChE (unknown origin) using acetylcholine iodate as substrate preincubated for 10 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL3784977,CHEMBL95,nM,7.64,nM,7.64,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",8.11690664142431
Binding affinity to AChE (unknown origin) assessed as inhibition constant,CHEMBL5126540,CHEMBL95,nM,109.75,nM,109.75,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.959595471085841
Inhibition of AChE (unknown origin),CHEMBL5260848,CHEMBL95,nM,22.99,nM,22.99,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",7.638461028730721
Inhibition of AChE (unknown origin) by UV spectrophotometric analysis,CHEMBL5260848,CHEMBL95,nM,282.5,nM,282.5,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.548981547844543
Inhibitory activity of compound against acetylcholinesterase from human erythrocytes,CHEMBL1136713,CHEMBL173309,nM,12.2,nM,12.2,"{'alogp': '8.43', 'aromatic_rings': 2, 'full_molformula': 'C42H70N4O4', 'full_mwt': '695.05', 'hba': 6, 'hbd': 0, 'heavy_atoms': 50, 'mw_freebase': '695.05', 'np_likeness_score': '-0.56', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 29}",7.913640169325252
Binding affinity against Acetylcholinesterase of human RBC,CHEMBL1130148,CHEMBL1128,nM,200.0,M,2E-7,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",6.698970004336019
Binding affinity against Acetylcholinesterase of purified Octopus brain (OB),CHEMBL1130148,CHEMBL1128,nM,400.0,M,4E-7,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",6.3979400086720375
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1128,nM,790.0,uM,0.79,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",6.102372908709558
Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1128,nM,4800.0,uM,4.8,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",5.318758762624412
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex,CHEMBL1759923,CHEMBL1128,nM,800.0,uM,0.8,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",6.096910013008056
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex,CHEMBL1759923,CHEMBL1128,nM,4800.0,uM,4.8,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",5.318758762624412
Competitive inhibition of human recombinant AChE using ATChCl as substrate by Lineweaver-Burk plot analysis,CHEMBL3091342,CHEMBL1128,nM,4800.0,uM,4.8,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16ClNO', 'full_mwt': '201.70', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",5.318758762624412
Binding affinity against Acetylcholinesterase of human RBC,CHEMBL1130148,CHEMBL102226,nM,20000.0,M,0.00002,"{'alogp': '3.53', 'aromatic_rings': 0, 'full_molformula': 'C13H28ClNO2S', 'full_mwt': '297.89', 'hba': 3, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '262.44', 'np_likeness_score': '0.48', 'num_ro5_violations': 0, 'psa': '26.30', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 9}",4.698970004336019
Binding affinity against Acetylcholinesterase of purified Octopus brain (OB),CHEMBL1130148,CHEMBL102226,nM,40000.0,M,0.00004,"{'alogp': '3.53', 'aromatic_rings': 0, 'full_molformula': 'C13H28ClNO2S', 'full_mwt': '297.89', 'hba': 3, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '262.44', 'np_likeness_score': '0.48', 'num_ro5_violations': 0, 'psa': '26.30', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 9}",4.3979400086720375
In vitro inhibition of Acetylcholinesterase Activity in octopus brain,CHEMBL1130148,CHEMBL103873,nM,2000.0,M,0.000002,"{'alogp': '2.75', 'aromatic_rings': 0, 'full_molformula': 'C11H24ClNO2S', 'full_mwt': '269.84', 'hba': 3, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '234.38', 'np_likeness_score': '0.47', 'num_ro5_violations': 0, 'psa': '26.30', 'qed_weighted': '0.38', 'ro3_pass': 'N', 'rtb': 7}",5.698970004336019
Binding affinity against Acetylcholinesterase of purified Octopus brain (OB),CHEMBL1130148,CHEMBL103873,nM,3000.0,M,0.000003,"{'alogp': '2.75', 'aromatic_rings': 0, 'full_molformula': 'C11H24ClNO2S', 'full_mwt': '269.84', 'hba': 3, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '234.38', 'np_likeness_score': '0.47', 'num_ro5_violations': 0, 'psa': '26.30', 'qed_weighted': '0.38', 'ro3_pass': 'N', 'rtb': 7}",5.522878745280337
Binding affinity against Acetylcholinesterase of human RBC,CHEMBL1130148,CHEMBL640,nM,1000.0,M,0.000001,"{'alogp': '1.34', 'aromatic_rings': 1, 'full_molformula': 'C13H21N3O', 'full_mwt': '235.33', 'hba': 3, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '235.33', 'np_likeness_score': '-1.40', 'num_ro5_violations': 0, 'psa': '58.36', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 6}",6.0
Binding affinity against Acetylcholinesterase of purified Octopus brain (OB),CHEMBL1130148,CHEMBL640,nM,1000.0,M,0.000001,"{'alogp': '1.34', 'aromatic_rings': 1, 'full_molformula': 'C13H21N3O', 'full_mwt': '235.33', 'hba': 3, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '235.33', 'np_likeness_score': '-1.40', 'num_ro5_violations': 0, 'psa': '58.36', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 6}",6.0
Inhibitory potency was evaluated against recombinant human AChE,CHEMBL1145004,CHEMBL75121,nM,21.7,nM,21.7,"{'alogp': '5.11', 'aromatic_rings': 4, 'full_molformula': 'C26H25NO4', 'full_mwt': '415.49', 'hba': 5, 'hbd': 0, 'heavy_atoms': 31, 'mw_freebase': '415.49', 'np_likeness_score': '-0.36', 'num_ro5_violations': 1, 'psa': '51.91', 'qed_weighted': '0.39', 'ro3_pass': 'N', 'rtb': 7}",7.663540266151471
Inhibition of recombinant human AChE assessed as hydrolysis of acetylthiocholine by Ellman's method,CHEMBL5252530,CHEMBL75121,nM,44.5,nM,44.5,"{'alogp': '5.11', 'aromatic_rings': 4, 'full_molformula': 'C26H25NO4', 'full_mwt': '415.49', 'hba': 5, 'hbd': 0, 'heavy_atoms': 31, 'mw_freebase': '415.49', 'np_likeness_score': '-0.36', 'num_ro5_violations': 1, 'psa': '51.91', 'qed_weighted': '0.39', 'ro3_pass': 'N', 'rtb': 7}",7.351639989019068
Inhibitory potency was evaluated against recombinant human AChE,CHEMBL1145004,CHEMBL502,nM,20.5,nM,20.5,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",7.688246138944246
Inhibition of human recombinant AChE,CHEMBL1149275,CHEMBL502,nM,20.5,nM,20.5,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",7.688246138944246
Inhibition of AChE,CHEMBL1212814,CHEMBL502,nM,20.5,nM,20.5,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",7.688246138944246
Inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate after 60 mins by Ellman's method,CHEMBL2311270,CHEMBL502,nM,7.2,nM,7.2,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",8.142667503568731
Mixed inhibition of human erythrocytes AchE using acetylthiocholine iodide as substrate incubated for 20 mins by Lineweaver-Burk plot analysis,CHEMBL3817803,CHEMBL502,nM,10.0,uM,0.01,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",8.0
Mixed-type inhibition of human AChE using acetylthiocholine chloride as substrate incubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL4270597,CHEMBL502,nM,38.0,nM,38.0,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",7.42021640338319
Mixed type inhibition of human AChE using acetylthiocholineiodide as substrate measured for every 30 sec for 5 mins by Ellman's method,CHEMBL4613305,CHEMBL502,nM,12.7,nM,12.7,"{'alogp': '4.36', 'aromatic_rings': 2, 'full_molformula': 'C24H29NO3', 'full_mwt': '379.50', 'hba': 4, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '379.50', 'np_likeness_score': '-0.06', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 6}",7.896196279044043
Competitive inhibition constant for Acetylcholinesterase,CHEMBL1145289,CHEMBL345124,nM,7140.0,nM,7140.0,"{'alogp': '4.99', 'aromatic_rings': 4, 'full_molformula': 'C27H34I2N4', 'full_mwt': '668.41', 'hba': 2, 'hbd': 2, 'heavy_atoms': 31, 'mw_freebase': '414.60', 'np_likeness_score': '0.40', 'num_ro5_violations': 0, 'psa': '55.92', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 7}",5.146301788223826
Competitive inhibition constant for Acetylcholinesterase,CHEMBL1145289,CHEMBL179455,nM,1.49,nM,1.49,"{'alogp': '7.00', 'aromatic_rings': 6, 'full_molformula': 'C41H48N7+', 'full_mwt': '638.88', 'hba': 6, 'hbd': 5, 'heavy_atoms': 48, 'mw_freebase': '638.88', 'np_likeness_score': '-0.15', 'num_ro5_violations': 2, 'psa': '104.90', 'qed_weighted': '0.04', 'ro3_pass': 'N', 'rtb': 14}",8.826813731587725
Competitive inhibition constant for Acetylcholinesterase,CHEMBL1145289,CHEMBL361165,nM,894.0,nM,894.0,"{'alogp': '5.94', 'aromatic_rings': 5, 'full_molformula': 'C38H49N6O+', 'full_mwt': '605.85', 'hba': 6, 'hbd': 3, 'heavy_atoms': 45, 'mw_freebase': '605.85', 'np_likeness_score': '-0.27', 'num_ro5_violations': 2, 'psa': '83.66', 'qed_weighted': '0.06', 'ro3_pass': 'N', 'rtb': 16}",6.048662481204082
Binding affinity for Acetylcholinesterase,CHEMBL1141884,CHEMBL359719,nM,2300.0,M,0.0000023,"{'alogp': '3.39', 'aromatic_rings': 2, 'full_molformula': 'C27H32O8', 'full_mwt': '484.55', 'hba': 8, 'hbd': 2, 'heavy_atoms': 35, 'mw_freebase': '484.55', 'np_likeness_score': '1.56', 'num_ro5_violations': 0, 'psa': '115.43', 'qed_weighted': '0.62', 'ro3_pass': 'N', 'rtb': 2}",5.638272163982407
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL369772,nM,1500.0,uM,1.5,"{'alogp': '0.50', 'aromatic_rings': 0, 'full_molformula': 'C7H15NO3', 'full_mwt': '161.20', 'hba': 3, 'hbd': 2, 'heavy_atoms': 11, 'mw_freebase': '161.20', 'np_likeness_score': '-0.30', 'num_ro5_violations': 0, 'psa': '58.56', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 5}",5.823908740944319
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL182596,nM,1400.0,uM,1.4,"{'alogp': '1.68', 'aromatic_rings': 0, 'full_molformula': 'C10H21NO3', 'full_mwt': '203.28', 'hba': 3, 'hbd': 2, 'heavy_atoms': 14, 'mw_freebase': '203.28', 'np_likeness_score': '-0.11', 'num_ro5_violations': 0, 'psa': '58.56', 'qed_weighted': '0.59', 'ro3_pass': 'N', 'rtb': 8}",5.853871964321762
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL181445,nM,360.0,uM,0.36,"{'alogp': '2.85', 'aromatic_rings': 0, 'full_molformula': 'C13H27NO3', 'full_mwt': '245.36', 'hba': 3, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '245.36', 'np_likeness_score': '-0.09', 'num_ro5_violations': 0, 'psa': '58.56', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 11}",6.443697499232712
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL181435,nM,200.0,uM,0.2,"{'alogp': '3.63', 'aromatic_rings': 0, 'full_molformula': 'C15H31NO3', 'full_mwt': '273.42', 'hba': 3, 'hbd': 2, 'heavy_atoms': 19, 'mw_freebase': '273.42', 'np_likeness_score': '-0.08', 'num_ro5_violations': 0, 'psa': '58.56', 'qed_weighted': '0.50', 'ro3_pass': 'N', 'rtb': 13}",6.698970004336019
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL182696,nM,300.0,uM,0.3,"{'alogp': '4.41', 'aromatic_rings': 0, 'full_molformula': 'C17H35NO3', 'full_mwt': '301.47', 'hba': 3, 'hbd': 2, 'heavy_atoms': 21, 'mw_freebase': '301.47', 'np_likeness_score': '-0.07', 'num_ro5_violations': 0, 'psa': '58.56', 'qed_weighted': '0.44', 'ro3_pass': 'N', 'rtb': 15}",6.522878745280337
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL183394,nM,200.0,uM,0.2,"{'alogp': '5.19', 'aromatic_rings': 0, 'full_molformula': 'C19H39NO3', 'full_mwt': '329.53', 'hba': 3, 'hbd': 2, 'heavy_atoms': 23, 'mw_freebase': '329.53', 'np_likeness_score': '-0.07', 'num_ro5_violations': 1, 'psa': '58.56', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 17}",6.698970004336019
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL184316,nM,130.0,uM,0.13,"{'alogp': '5.97', 'aromatic_rings': 0, 'full_molformula': 'C21H43NO3', 'full_mwt': '357.58', 'hba': 3, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '357.58', 'np_likeness_score': '-0.06', 'num_ro5_violations': 1, 'psa': '58.56', 'qed_weighted': '0.28', 'ro3_pass': 'N', 'rtb': 19}",6.886056647693163
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL366931,nM,360.0,uM,0.36,"{'alogp': '2.04', 'aromatic_rings': 0, 'full_molformula': 'C12H24N2O4', 'full_mwt': '260.33', 'hba': 4, 'hbd': 2, 'heavy_atoms': 18, 'mw_freebase': '260.33', 'np_likeness_score': '-0.49', 'num_ro5_violations': 0, 'psa': '76.66', 'qed_weighted': '0.62', 'ro3_pass': 'N', 'rtb': 9}",6.443697499232712
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL181867,nM,250.0,uM,0.25,"{'alogp': '3.21', 'aromatic_rings': 0, 'full_molformula': 'C15H30N2O4', 'full_mwt': '302.42', 'hba': 4, 'hbd': 2, 'heavy_atoms': 21, 'mw_freebase': '302.42', 'np_likeness_score': '-0.31', 'num_ro5_violations': 0, 'psa': '76.66', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 12}",6.6020599913279625
